country,category,source,total,n_cities,top1_city,top1_share_pct
MX,medicina,cofepris-farmacias,13249,19,Ciudad de México,28.7
MX,medicina,denue-mx,4313,8,Tijuana,28.4
MX,medicina,clues-sinais-mx,1649,23,Tijuana,12.6
MX,medicina,siem,957,57,Puebla,17.7
MX,medicina,profeco-sancionados,32,10,Ciudad de México,31.3
MX,medicina,ca-dca-open-data,3,2,Durango,66.7
MX,notario,denue-mx,2983,236,Ciudad de México,8.7
MX,notario,padron-notarios-fed-mx,1275,23,Ciudad de México,17.6
MX,notario,colegio-notarios-cdmx,120,1,Ciudad de México,100.0
MX,notario,siem,4,3,Reynosa,50.0
MX,notario,cgn-notariado,1,1,Lerma,100.0
MX,psicologia,denue-mx,741,7,Tijuana,32.4
MX,psicologia,siem,13,9,Puebla,30.8
MX,veterinario,senasica-mx-vet,3416,27,Ciudad de México,7.6
MX,veterinario,siem,139,27,Ciudad de México,13.7
MX,veterinario,fedmvz-colegios-vet,10,1,San Luis Potosí,100.0
MX,veterinario,profeco-sancionados,1,1,Morelia,100.0
US,carpinteria,google_places,1760,16,Los Angeles,7.7
US,carpinteria,yelp_fusion,826,2,New York,50.8
US,carpinteria,tsbc,2,1,Richmond,100.0
US,dentista,npi,231,149,San Diego,2.6
US,dentista,cms-pecos,104,47,Boston,10.6
US,electricidad,cslb,10090,61,Los Angeles,8.8
US,electricidad,google_places,919,15,Houston,8.2
US,electricidad,texas-tdlr,768,77,Houston,22.4
US,electricidad,yelp_fusion,313,1,New York,100.0
US,electricidad,tsbc,149,1,Richmond,100.0
US,electricidad,ecra,32,1,Aurora,100.0
US,electricidad,ccaa_registry,4,1,Santa Barbara,100.0
US,enfermeria,npi,740,235,Las Vegas,3.4
US,extranjeria,google_places,1221,16,New York,7.1
US,extranjeria,yelp_fusion,885,2,Los Angeles,50.1
US,farmacia,npi,455,194,Houston,3.1
US,fiscal,google_places,1651,16,Dallas,6.8
US,fiscal,yelp_fusion,841,2,New York,50.4
US,fontaneria,google_places,1210,16,Dallas,7.8
US,fontaneria,yelp_fusion,726,2,New York,59.5
US,fontaneria,ccaa_registry,3,1,Santa Barbara,100.0
US,hvac,tsbc,84,1,Richmond,100.0
US,itv,ccaa_registry,2,2,El Paso,50.0
US,itv,dgt-itv-es,2,2,El Paso,50.0
US,mecanica,google_places,1617,15,Chicago,8.0
US,mecanica,yelp_fusion,416,1,New York,100.0
US,mecanica,texas-tdlr,351,58,Houston,18.8
US,mecanica,ccaa_registry,17,4,Laredo,47.1
US,mecanica,tsbc,6,1,Richmond,100.0
US,medicina,cms-pecos,150982,481,New York,4.4
US,medicina,ca-dca-open-data,55961,463,Los Angeles,12.6
US,medicina,oig-leie,16015,470,Miami,7.0
US,medicina,npi,10146,466,Chicago,2.1
US,medicina,hifld-us,4729,20,Houston,13.7
US,medicina,google_places,2403,16,Houston,6.9
US,medicina,yelp_fusion,1083,2,New York,51.4
US,medicina,wikidata,3,2,San José,66.7
US,notario,cgn-notariado,1,1,Laredo,100.0
US,psicologia,google_places,2244,16,Houston,7.0
US,psicologia,cms-pecos,1944,317,Los Angeles,4.1
US,psicologia,npi,1138,302,Columbus,4.7
US,psicologia,yelp_fusion,743,2,Los Angeles,53.8
US,veterinario,npi,75,62,Sacramento,5.3
