country,city_slug,category_key,n
CA,boutiliers-point,ingenieria,1
CA,bow,ingenieria,1
CA,bow-island,electricidad,1
CA,bowden,ingenieria,2
CA,bowen-island,ingenieria,5
CA,bowling-green,ingenieria,1
CA,bowmanville,ingenieria,5
CA,bowser,ingenieria,1
CA,boxborough,ingenieria,1
CA,boxford,ingenieria,1
CA,boyle,ingenieria,8
CA,bozeman,ingenieria,2
CA,bracebridge,ingenieria,1
CA,bracken,electricidad,2
CA,bracken,hvac,2
CA,brackendale,ingenieria,2
CA,bradenton,medicina,1
CA,bradford,ingenieria,6
CA,bradwell,electricidad,1
CA,bragg-creek,ingenieria,95
CA,braintree,ingenieria,1
CA,brampton,carpinteria,212
CA,brampton,electricidad,196
CA,brampton,psicologia,113
CA,brampton,medicina,103
CA,brampton,ingenieria,97
CA,brampton,extranjeria,88
CA,brampton,mecanica,87
CA,brampton,fiscal,83
CA,brampton,dentista,63
CA,brampton,fontaneria,50
CA,brandon,ingenieria,18
CA,brandon,hvac,5
CA,brandon,electricidad,3
CA,brandon,medicina,1
CA,brantford,carpinteria,45
CA,brantford,electricidad,43
CA,brantford,ingenieria,13
CA,brea,ingenieria,1
CA,breckenridge,ingenieria,1
CA,bredenbury,electricidad,4
CA,breinigsville,ingenieria,2
CA,bremen,ingenieria,1
CA,brentwood,ingenieria,2
CA,brentwood-bay,ingenieria,3
CA,breslau,ingenieria,2
CA,breton,ingenieria,3
CA,bridgenorth,ingenieria,1
CA,bridgewater,medicina,101
CA,bridgewater,ingenieria,4
CA,brierly-brook,ingenieria,1
CA,brigham-city,ingenieria,5
CA,bright-s-grove,ingenieria,7
CA,brighton,ingenieria,3
CA,brights-grove,ingenieria,1
CA,brisbane,ingenieria,6
CA,brisbane-city,ingenieria,2
CA,brisco,ingenieria,2
CA,britannia-beach,ingenieria,1
CA,broad-cove,ingenieria,1
CA,broadview,electricidad,2
CA,broadview,hvac,2
CA,brockville,carpinteria,9
CA,brockville,ingenieria,6
CA,broken-arrow,ingenieria,2
CA,bromont,ingenieria,1
CA,brookdale,ingenieria,1
CA,brookfield,medicina,1
CA,brookfield,ingenieria,1
CA,brooklin,ingenieria,1
CA,brooklyn,ingenieria,5
CA,brooks,ingenieria,14
CA,brookshire,ingenieria,3
CA,brookside,medicina,3
CA,broomfield,ingenieria,2
CA,brossard,arquitecto,15
CA,brossard,ingenieria,12
CA,brossard,carpinteria,1
CA,brownlee,electricidad,2
CA,brownvale,ingenieria,1
CA,bru-norway,ingenieria,1
CA,brudenell,ingenieria,1
CA,bruderheim,ingenieria,6
CA,bruno,hvac,6
CA,bruno,electricidad,5
CA,brunswick,ingenieria,1
CA,bucharest,ingenieria,1
CA,buena-vista,ingenieria,1
CA,buffalo,ingenieria,4
CA,buffalo-grove,ingenieria,2
CA,buffalo-narrows,electricidad,4
CA,buffalo-narrows,hvac,3
CA,buford,ingenieria,2
CA,bulyea,electricidad,2
CA,burin,medicina,3
CA,burleson,ingenieria,1
CA,burlingame,ingenieria,1
CA,burlington,ingenieria,96
CA,burlington-on,carpinteria,158
CA,burnaby,electricidad,536
CA,burnaby,ingenieria,264
CA,burnaby,hvac,206
CA,burnaby,psicologia,110
CA,burnaby,extranjeria,100
CA,burnaby,medicina,95
CA,burnaby,carpinteria,88
CA,burnaby,mecanica,84
CA,burnaby,fiscal,78
CA,burnaby,fontaneria,70
CA,burnaby,arquitecto,54
CA,burnstown,ingenieria,1
CA,burnsville,ingenieria,2
CA,burstall,hvac,2
CA,busby,ingenieria,2
CA,bushell-park,electricidad,2
CA,butler,ingenieria,1
CA,butte,ingenieria,1
CA,ca,ingenieria,1
CA,cabri,electricidad,9
CA,cabri,hvac,1
CA,cabrils,ingenieria,1
CA,cadillac,hvac,2
CA,cadillac,electricidad,2
CA,cagary,ingenieria,1
CA,cairns-north,ingenieria,1
CA,cairo,ingenieria,4
CA,calabar,ingenieria,1
CA,calagary,ingenieria,1
CA,calagry,ingenieria,1
CA,caledon,carpinteria,21
CA,caledon,ingenieria,2
CA,caledon,electricidad,2
CA,caledon-east,ingenieria,4
CA,caledon-village,ingenieria,2
CA,caledonia,medicina,1
CA,caledonia,ingenieria,1
CA,calgary,ingenieria,34930
CA,calgary,mecanica,3232
CA,calgary,psicologia,1255
CA,calgary,medicina,142
CA,calgary,electricidad,123
CA,calgary,carpinteria,109
CA,calgary,fiscal,100
CA,calgary,extranjeria,97
CA,calgary,fontaneria,89
CA,calgary,hvac,40
CA,calgary,arquitecto,20
CA,calgary-ab,ingenieria,1
CA,calgary-alberta,ingenieria,2
CA,california,ingenieria,1
CA,calmar,ingenieria,9
CA,camana-bay,ingenieria,1
CA,cambridge,ingenieria,47
CA,cambridge,medicina,4
CA,cambridge,electricidad,2
CA,cambridge-bay,ingenieria,1
CA,cambridge-on,carpinteria,57
CA,camlachie,ingenieria,10
CA,campbell-river,ingenieria,19
CA,campbell-river,medicina,1
CA,campbell-river,carpinteria,1
CA,campbellton,medicina,6
CA,campbellton,ingenieria,1
CA,campbellville,ingenieria,2
CA,campton-hills,ingenieria,1
CA,camrose,ingenieria,36
CA,camrose-county,ingenieria,4
CA,canada,ingenieria,1
CA,candiac,ingenieria,1
CA,candle-lake,hvac,8
CA,candle-lake,electricidad,5
CA,canmore,ingenieria,253
CA,canning,medicina,3
CA,canonsburg,ingenieria,5
CA,canora,electricidad,7
CA,canora,hvac,6
CA,canso,medicina,3
CA,canterbury,ingenieria,1
CA,cantley,ingenieria,2
CA,canton,ingenieria,3
CA,canton-de-hatley,ingenieria,1
CA,canyon,ingenieria,2
CA,cape-john,ingenieria,1
CA,cape-may,ingenieria,1
CA,cape-town,ingenieria,1
CA,capreol,ingenieria,1
CA,caraquet,ingenieria,2
CA,caraquet,medicina,1
CA,carberry,electricidad,2
CA,carbon,ingenieria,2
CA,carbonear,medicina,6
CA,carbonear,ingenieria,1
CA,cardiff-wales,ingenieria,1
CA,cardston,ingenieria,4
CA,caribou-island,ingenieria,1
CA,carievale,hvac,2
CA,carignan,ingenieria,5
CA,carleton-place,ingenieria,5
CA,carlisle,ingenieria,2
CA,carlsbad,ingenieria,2
CA,carlsbad,hvac,1
CA,carlyle,electricidad,14
CA,carlyle,hvac,6
CA,carlyle,ingenieria,1
CA,carmacks,ingenieria,1
CA,carmel,ingenieria,2
CA,carmichael,ingenieria,1
CA,carnduff,electricidad,8
CA,carnduff,hvac,5
CA,carnwood,ingenieria,1
CA,carol-stream,ingenieria,1
CA,caroline,ingenieria,2
CA,caron,electricidad,2
CA,caronport,electricidad,5
CA,caronport,hvac,2
CA,carp,ingenieria,9
CA,carrollton,ingenieria,1
CA,carrot-river,hvac,8
CA,carrot-river,electricidad,4
CA,carrying-place,ingenieria,1
CA,carseland,ingenieria,3
CA,carstairs,ingenieria,29
CA,carstairs,hvac,2
CA,cartier,ingenieria,1
CA,cary,ingenieria,3
CA,casa-rio,electricidad,2
CA,castle-pines,ingenieria,1
CA,castle-rock,ingenieria,3
CA,castlegar,ingenieria,10
CA,castleton,ingenieria,1
CA,castor,ingenieria,2
